category,course_id,required_total,required_compulsory,required_elective,course_name,credit,total_hours,theory_hours,practice_hours,semester,required,exam_type,remarks,major,year
思想政治理论,3322100012,16,15,1,思想道德与法治,2.5,40,40,0,1,必修,考试,,物联网工程,2024
思想政治理论,3322100060,16,15,1,中国近现代史纲要,2.5,40,40,0,2,必修,考试,,物联网工程,2024
思想政治理论,3322100021,16,15,1,马克思主义基本原理,2.5,40,40,0,3,必修,考试,,物联网工程,2024
思想政治理论,3322100083,16,15,1,毛泽东思想和中国特色社会主义理论体系概论,2.5,40,40,0,4,必修,考试,,物联网工程,2024
思想政治理论,3322100092,16,15,1,习近平新时代中国特色社会主义思想概论,3,48,40,8,1,必修,考试,,物联网工程,2024
思想政治理论,1052100010,16,15,1,形势与政策1,0.4,6,6,0,1,必修,考查,,物联网工程,2024
思想政治理论,1052100020,16,15,1,形势与政策2,0.4,6,6,0,2,必修,考查,,物联网工程,2024
思想政治理论,1052100030,16,15,1,形势与政策3,0.4,6,6,0,3,必修,考查,,物联网工程,2024
思想政治理论,1052100040,16,15,1,形势与政策4,0.4,6,6,0,4,必修,考查,,物联网工程,2024
思想政治理论,1052100050,16,15,1,形势与政策5,0.4,8,8,0,5,必修,考查,,物联网工程,2024
思想政治理论,3322111020,16,15,1,中共党史,1,16,16,0,2,选修,考查,四门至少选修一门,物联网工程,2024
思想政治理论,3322111026,16,15,1,中华人民共和国史,1,16,16,0,2,选修,考查,四门至少选修一门,物联网工程,2024
思想政治理论,3322111021,16,15,1,改革开放史,1,16,16,0,2,选修,考查,四门至少选修一门,物联网工程,2024
思想政治理论,3322111022,16,15,1,社会主义发展史,1,16,16,0,2,选修,考查,四门至少选修一门,物联网工程,2024
体育基础,3812150010,4,1,3,体育基础,1,32,8,24,1,必修,考查,,物联网工程,2024
国防教育,2122110003,2,2,0,军事理论,2,36,36,0,1,必修,考查,,物联网工程,2024
心理健康,2122120021,0,0,0,大学生心理健康（慕课）,0,16,16,0,2,必修,考查,成绩达标方可毕业,物联网工程,2024
国家安全,2122100100,1,1,0,国家安全教育（上）,0.5,8,8,0,1,必修,考查,,物联网工程,2024
国家安全,3322111017,1,1,0,国家安全教育（下）,0.5,8,8,0,2,必修,考查,,物联网工程,2024
国际交流,3312111122,6,6,0,新视野英语A（上）,2,32,32,0,1,必修,考试,三选一,物联网工程,2024
国际交流,3312111123,6,6,0,新视野英语B（上）,2,32,32,0,1,必修,考试,三选一,物联网工程,2024
国际交流,3312111124,6,6,0,新视野英语C（上）,2,32,32,0,1,必修,考试,三选一,物联网工程,2024
国际交流,3312111126,6,6,0,新视野英语A（下）,2,32,32,0,2,必修,考试,,物联网工程,2024
国际交流,3312111127,6,6,0,新视野英语B（下）,2,32,32,0,2,必修,考试,,物联网工程,2024
国际交流,3312111128,6,6,0,新视野英语C（下）,2,32,32,0,2,必修,考试,,物联网工程,2024
国际交流,3312111125,6,6,0,进阶听说（上）,2,32,32,0,1,选修,考查,,物联网工程,2024
国际交流,3312111129,6,6,0,进阶听说（下）,2,32,32,0,2,选修,考查,,物联网工程,2024
国际交流,3312111130,6,6,0,英语中级读写,2,32,32,0,2,选修,考查,,物联网工程,2024
国际交流,3312111140,6,6,0,试听电影,2,32,32,0,2,选修,考查,,物联网工程,2024
国际交流,3312111040,6,6,0,商务英语与国际交流,2,32,32,0,2,选修,考查,,物联网工程,2024
国际交流,3312111132,6,6,0,英语品中国——文化对话科技,2,32,32,0,3,必修,考查,,物联网工程,2024
AI+ICT素质课,3112103350,4.5,3.5,1,信息通信概论A,1,16,16,0,1,必修,考试,,物联网工程,2024
AI+ICT素质课,3212114592,4.5,3.5,1,领导力与可持续发展,1,16,16,0,2,选修,考查,指选,物联网工程,2024
AI+ICT素质课,3512142131,4.5,3.5,1,AI基础及应用,2.5,40,40,0,3,必修,考试,,物联网工程,2024
素质拓展课,,6,0,6,,6,96,96,0,1,选修,考查,,物联网工程,2024
素质拓展课,,6,0,6,,6,96,96,0,2,选修,考查,,物联网工程,2024
素质拓展课,,6,0,6,,6,96,96,0,3,选修,考查,,物联网工程,2024
素质拓展课,,6,0,6,,6,96,96,0,4,选修,考查,,物联网工程,2024
素质拓展课,,6,0,6,,6,96,96,0,5,选修,考查,,物联网工程,2024
素质拓展课,,6,0,6,,6,96,96,0,6,选修,考查,,物联网工程,2024
素质拓展课,,6,0,6,,6,96,96,0,7,选修,考查,,物联网工程,2024
素质拓展课,,6,0,6,,6,96,96,0,8,选修,考查,,物联网工程,2024
数学与自然科学基础,3412110079,24,24,0,线性代数,3,48,48,0,1,必修,考试,,物联网工程,2024
数学与自然科学基础,3412110019,24,24,0,高等数学A(上),5,80,80,0,1,必修,考试,,物联网工程,2024
数学与自然科学基础,3412110029,24,24,0,高等数学A(下),5,80,80,0,2,必修,考试,,物联网工程,2024
数学与自然科学基础,3412120038,24,24,0,基础物理,4,64,64,0,2,必修,考试,,物联网工程,2024
数学与自然科学基础,3412110277,24,24,0,离散数学,4,64,64,0,3,必修,考试,,物联网工程,2024
