category,course_id,course_name,credit,total_hours,theory_hours,practice_hours,semester,required,exam_type,remarks,major
思想政治理论,3322100010,思想道德修养和法律基础,3,48,48,0,1,必修,考试,,电信工程及管理
思想政治理论,3322100090,习近平新时代中国特色社会主义思想概论,2,32,28,4,1,必修,考试,,电信工程及管理
思想政治理论,3322100060,中国近现代史纲要,2.5,40,40,0,2,必修,考试,,电信工程及管理
思想政治理论,3322100070,马克思主义基本原理概论,2.5,40,40,0,3,必修,考试,,电信工程及管理
思想政治理论,3322100080,毛泽东思想和中国特色社会主义理论体系概论,4,64,64,0,4,必修,考试,,电信工程及管理
思想政治理论,1052100010,形势与政策1,0.4,6.4,6.4,0,1,必修,考查,,电信工程及管理
思想政治理论,1052100020,形势与政策2,0.4,6.4,6.4,0,2,必修,考查,,电信工程及管理
思想政治理论,1052100030,形势与政策3,0.4,6.4,6.4,0,3,必修,考查,,电信工程及管理
思想政治理论,1052100040,形势与政策4,0.4,6.4,6.4,0,4,必修,考查,,电信工程及管理
思想政治理论,1052100050,形势与政策5,0.4,6.4,6.4,0,5,必修,考查,,电信工程及管理
体育、美育,3812150010,体育基础,1,32,8,24,1,必修,考查,,电信工程及管理
体育、美育,2122110002,军事理论,2,32,32,0,2,必修,考查,,电信工程及管理
体育、美育,2122120000,大学生心理健康,0.5,8,8,0,1,必修,考查,,电信工程及管理
体育、美育,2122100090,安全教育,0,12,12,0,1,必修,考查,,电信工程及管理
英语,3312110316,综合英语（上）,2,32,32,0,1,必修,考试,,电信工程及管理
英语,3312110326,综合英语（下）,2,32,32,0,2,必修,考试,,电信工程及管理
英语,3312110336,进阶听说（上）,2,32,32,0,1,必修,考查,,电信工程及管理
英语,3312110346,进阶听说（下）,2,32,32,0,2,必修,考查,,电信工程及管理
英语,3312111040,商务英语与国际交流,2,32,32,0,2,选修,考查,非全校公选课,电信工程及管理
英语,3312111130,英语中级读写,2,32,32,0,2,选修,考查,非全校公选课,电信工程及管理
英语,3312111140,视听电影,2,32,32,0,2,选修,考查,非全校公选课,电信工程及管理
数学与自然科学,3412110079,线性代数,3,48,48,0,1,必修,考试,,电信工程及管理
数学与自然科学,3412110019,高等数学A(上),5,80,80,0,1,必修,考试,,电信工程及管理
数学与自然科学,3412110029,高等数学A(下),5,80,80,0,2,必修,考试,,电信工程及管理
数学与自然科学,3412120019,大学物理D（上）,4,64,64,0,2,必修,考试,,电信工程及管理
数学与自然科学,3412120029,大学物理D（下）,2,32,32,0,3,必修,考试,,电信工程及管理
数学与自然科学,3412110129,工程数学,4,64,64,0,3,必修,考试,,电信工程及管理
数学与自然科学,3412110099,概率论与随机过程,3,48,48,0,4,必修,考试,,电信工程及管理
数学与自然科学,3412110199,计算方法,2,32,32,0,3,选修,考查,,电信工程及管理
数学与自然科学,3412120199,近代物理,2,32,32,0,4,选修,考查,,电信工程及管理
计算机基础,3132100090,程序设计基础,3,48,32,16,1,必修,考试,,电信工程及管理
计算机基础,3512142011,Java高级语言程序设计,3,48,32,16,4,必修,考试,,电信工程及管理
计算机基础,3512163043,软件工程,3,48,36,12,6,必修,考试,,电信工程及管理
计算机基础,3132100072,数据结构,2,32,32,0,3,选修,考试,数据结构、数据库与微机原理3选1,电信工程及管理
计算机基础,3132100132,数据库技术与应用,2,32,32,0,4,选修,考试,数据结构、数据库与微机原理3选1,电信工程及管理
计算机基础,3112191010,微机原理与接口技术,3,48,40,8,5,选修,考试,数据结构、数据库与微机原理3选1,电信工程及管理
学科基础,3112191060,电信工程及管理专业导论,1,16,16,0,1,必修,考查,,电信工程及管理
学科基础,3112190100,电子系统基础,3,48,48,0,2,必修,考试,,电信工程及管理
学科基础,3112190019,电子电路基础,3,48,40,8,3,必修,考试,,电信工程及管理
学科基础,3512143742,信号与系统,3,48,48,0,3,必修,考试,,电信工程及管理
学科基础,3512142023,数字电路设计,3,48,40,8,4,必修,考试,,电信工程及管理
学科基础,3512153761,数字信号处理,3,48,48,0,4,必修,考试,,电信工程及管理
学科基础,3122101058,电磁场与电磁波,3,48,48,0,5,必修,考试,,电信工程及管理
学科基础,3112100140,通信原理I,4,64,64,0,5,必修,考试,,电信工程及管理
专业基础,3512142031,人工智能导论,2.5,40,40,0,3,必修,考试,,电信工程及管理
专业基础,3512164021,企业管理,2.5,40,40,0,3,必修,考试,,电信工程及管理
专业基础,3512152131,互联网协议与网络,3,48,44,4,4,必修,考试,,电信工程及管理
专业基础,3512152011,机器学习,2.5,40,32,8,5,必修,考试,,电信工程及管理
专业基础,3212153930,企业技术战略,2,32,32,0,7,必修,考试,,电信工程及管理
专业基础,3112100170,通信原理II,2,32,32,0,6,选修,考查,,电信工程及管理
专业基础,3212100010,市场营销学,2,32,32,0,6,选修,考查,,电信工程及管理
专业基础,3112191020,网络安全技术,3,48,32,16,7,选修,考查,,电信工程及管理
专业基础,3212120112,电信市场竞争与规制,2,32,32,0,7,选修,考查,,电信工程及管理
专业基础,3112100430,移动互联网,2,32,32,0,7,选修,考查,,电信工程及管理
专业基础,3132112080,服务科学与服务工程概论,2,32,32,0,7,选修,考查,,电信工程及管理
专业课,3512153351,数字系统设计,3,48,40,8,5,选修,考试,通信工程方向,电信工程及管理
专业课,3512150421,高级网络程序设计,3.5,56,40,16,5,选修,考试,通信工程方向,电信工程及管理
专业课,3512163661,微波、毫米波与光传输,3,48,40,8,6,选修,考试,通信工程方向,电信工程及管理
专业课,3512154751,微处理器系统设计,3,48,40,8,6,选修,考试,通信工程方向,电信工程及管理
专业课,3512156062,产品开发与营销,2.5,40,40,0,6,选修,考试,通信工程方向,电信工程及管理
专业课,3512164101,现代无线技术,2.5,40,40,0,7,选修,考试,通信工程方向,电信工程及管理
专业课,3512164091,宽带技术与光纤,2.5,40,40,0,7,选修,考试,通信工程方向,电信工程及管理
专业课,3512153031,多媒体基础,3,48,40,8,5,选修,考试,多媒体方向,电信工程及管理
专业课,3512171801,高级变换,3,48,40,8,5,选修,考试,多媒体方向,电信工程及管理
专业课,3132100189,互联网应用,3,48,32,16,6,选修,考试,多媒体方向,电信工程及管理
专业课,3512162301,图形与视频处理,3,48,40,8,6,选修,考试,多媒体方向,电信工程及管理
专业课,3512153051,交互式媒体设计,3,48,40,8,6,选修,考试,"多媒体方向
",电信工程及管理
专业课,3512154051,3D图形程序设计,3,48,40,8,7,选修,考试,"多媒体方向
",电信工程及管理
